all_riders,rider_class,total_points
Adam Yates,All Rounder,356
Alberto Dainese,Sprinter,322
Aleksandr Vlasov,All Rounder,166
Alex Aranburu,Sprinter,58
Alex Baudin,Unclassed,118
Alexandre Delettre,Unclassed,52
Alexey Lutsenko,Unclassed,33
Alexis Renard,Sprinter,70
Amaury Capiot,Unclassed,78
Anders Halland Johannessen,Unclassed,147
Andreas Leknessund,Unclassed,62
Anthony Turgis,Unclassed,366
Arnaud De Lie,Sprinter,677
Arnaud Démare,Sprinter,47
Aurélien Paret-Peintre,Climber,223
Axel Laurance,Unclassed,325
Bastien Tronchon,Unclassed,91
Ben Healy,Climber,1077
Ben O'Connor,Climber,624
Benjamin Thomas,Unclassed,46
Bert Van Lerberghe,Unclassed,46
Biniam Girmay,Sprinter,699
Brent Van Moer,Unclassed,84
Bruno Armirail,Unclassed,85
Bryan Coquard,Sprinter,120
Callum Scotson,Unclassed,12
Carlos Rodríguez,Climber,228
Cees Bol,Unclassed,16
Clément Berthet,Unclassed,16
Clément Champoussin,Climber,16
Clément Russo,Unclassed,245
Clément Venturini,Unclassed,20
Connor Swift,Unclassed,20
Cristián Rodríguez,Unclassed,102
Cyril Barthe,Unclassed,34
Damien Touzé,Unclassed,45
Danny Van Poppel,Sprinter,70
Davide Ballerini,Unclassed,431
Dylan Groenewegen,Sprinter,122
Dylan Teuns,Unclassed,60
Eddie Dunbar,All Rounder,165
Edoardo Affini,Unclassed,222
Eduardo Sepúlveda,Unclassed,2
Edward Theuns,Unclassed,38
Einer Rubio,Climber,223
Elmar Reinders,Unclassed,12
Emanuel Buchmann,Unclassed,27
Emiel Verstrynge,Unclassed,78
Emilien Jeannière,Sprinter,0
Enric Mas,Climber,287
Ewen Costiou,Unclassed,105
Fabian Lienhard,Unclassed,12
Felix Gall,Climber,867
Filippo Ganna,Unclassed,0
Florian Lipowitz,All Rounder,972
Frank Van Den Broek,Unclassed,216
Fred Wright,Unclassed,133
Georg Zimmermann,Unclassed,11
Geraint Thomas,All Rounder,48
Gianni Moscon,Unclassed,36
Gianni Vermeersch,Unclassed,78
Gregor Mühlberger,Unclassed,99
Guillaume Boivin,Unclassed,0
Guillaume Martin,Climber,181
Harold Tejada,Unclassed,213
