stage,stage_class,count,mean,median,std,min,max
X1,flat,184,11.875,0.0,37.14688941812791,0,272
X2,hills,184,12.16304347826087,0.0,35.132311089507084,0,258
X3,flat,184,11.728260869565217,0.0,32.371512559258,0,226
X4,hills,184,12.097826086956522,0.0,36.47143047852548,0,264
X6,hills,184,12.554347826086957,0.0,37.71951825641258,0,264
X7,hills,184,12.271739130434783,0.0,36.23544841103891,0,274
X8,flat,184,11.695652173913043,0.0,32.225041727303356,0,252
X9,flat,184,11.869565217391305,0.0,32.47789240224646,0,234
X10,hills,184,13.652173913043478,0.0,37.80881869623225,0,248
X11,hills,184,12.097826086956522,0.0,34.87121028475621,0,260
X12,mount,184,12.418478260869565,0.0,39.32370752647747,0,304
X14,mount,184,13.11413043478261,0.0,40.44443015283148,0,292
X15,hills,184,12.380434782608695,0.0,33.90483060874579,0,252
X16,mount,184,12.152173913043478,0.0,37.112569794859695,0,251
X17,flat,184,12.01086956521739,0.0,31.70009552147006,0,238
X18,mount,184,13.619565217391305,0.0,42.48570119895997,0,284
X19,mount,184,13.08695652173913,0.0,40.393191054716134,0,263
X20,hills,184,12.945652173913043,0.0,37.361142296117045,0,244
X21,flat,184,11.58695652173913,0.0,33.54375730407375,0,232
